name,brand,url,cluster,aura_confidence,aura_sensuality,aura_formality,aura_intensity,aura_uniqueness,aura_approachability,aura_maturity,aura_extroversion,performance,longevity,sillage,uniqueness_idf,dominant_accord_1,dominant_accord_2,dominant_accord_3
Malbec Sport O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Malbec-Sport-41727.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.8574671034170679,0.80251008160767,0.8193561693776197,0.8306854101446361,0.7265,0.7260000000000001,0.727,0.24431941059940218,leather,aromatic,woody
Malbec Supremo O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Malbec-Supremo-35251.html,Spicy-Oriental,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6037205167887054,0.80251008160767,0.8193561693776197,0.8306854101446361,0.772,0.763,0.781,0.23022008568697713,woody,warm spicy,amber
Malbec Ultra Bleu O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Malbec-Ultra-Bleu-75487.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.7888247741042674,0.80251008160767,0.8193561693776197,0.8306854101446361,0.5325,0.56,0.505,0.30013294702253884,fresh,aromatic,woody
Malbec Vert O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Malbec-Vert-58230.html,Spicy-Oriental,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.7417571319393901,0.80251008160767,0.8193561693776197,0.8306854101446361,0.56,0.5770000000000001,0.543,0.2400131572422047,woody,green,fruity
Malbec X O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Malbec-X-72694.html,Spicy-Oriental,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.866439423864677,0.80251008160767,0.8193561693776197,0.8306854101446361,0.6425000000000001,0.679,0.6060000000000001,0.2965702479331684,leather,amber,warm spicy
Men O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Men-32149.html,Barbershop,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5349269365365389,0.80251008160767,0.8193561693776197,0.8306854101446361,0.46099999999999997,0.46399999999999997,0.45799999999999996,0.218803051405099,fresh spicy,citrus,aromatic
Men & Brahma O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Men-Brahma-83897.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6635603175898493,0.80251008160767,0.8193561693776197,0.8306854101446361,0.38,0.404,0.356,0.24425901899580613,aromatic,woody,citrus
Men 2021 O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Men-2021-65124.html,Green-Fresh,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6040128507337701,0.80251008160767,0.8193561693776197,0.8306854101446361,0.4235,0.434,0.41300000000000003,0.23847353548523947,aromatic,lavender,fresh spicy
Men NBA O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Men-NBA-104619.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6515634293773173,0.80251008160767,0.8193561693776197,0.8306854101446361,0.4355,0.466,0.40499999999999997,0.222596191095946,woody,aromatic,green
Men Only O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Men-Only-38547.html,Sweet-Gourmand,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5929364990407566,0.80251008160767,0.8193561693776197,0.8306854101446361,0.433,0.434,0.432,0.21760981573675278,fresh spicy,amber,citrus
Verbena O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Verbena-56344.html,Green-Fresh,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.4540692625358655,0.80251008160767,0.8193561693776197,0.8306854101446361,0.588,0.5299999999999999,0.646,0.22237842378890768,citrus,fresh spicy,aromatic
Next Spider Man O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Next-Spider-Man-116067.html,Barbershop,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.47412012187854785,0.80251008160767,0.8193561693776197,0.8306854101446361,0.33149999999999996,0.33399999999999996,0.32899999999999996,0.2579934950675432,lavender,fruity,aromatic
One of Us O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/One-of-Us-34184.html,Barbershop,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6142125790429126,0.80251008160767,0.8193561693776197,0.8306854101446361,0.5665,0.531,0.6020000000000001,0.2446796502152234,woody,lavender,floral
Azul Portinari O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Azul-Portinari-12100.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6504621229951851,0.80251008160767,0.8193561693776197,0.8306854101446361,0.4925,0.536,0.44899999999999995,0.24614595868857023,woody,fresh spicy,aromatic
Portinari O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Portinari-7357.html,Barbershop,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5499810138811715,0.80251008160767,0.8193561693776197,0.8306854101446361,0.502,0.502,0.502,0.20714360479719895,aromatic,fresh spicy,warm spicy
Portinari Absoluto O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Portinari-Absoluto-87629.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5630585347524583,0.80251008160767,0.8193561693776197,0.8306854101446361,0.5609999999999999,0.594,0.528,0.21687573213119932,woody,warm spicy,amber
Portinari Memórias O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Portinari-Memorias-38074.html,Barbershop,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5301783993332829,0.80251008160767,0.8193561693776197,0.8306854101446361,0.5555,0.528,0.583,0.21105328478639016,woody,warm spicy,aromatic
Portinari Memórias 2025 O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Portinari-Memorias-2025-116069.html,Citrus-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5859337343390629,0.80251008160767,0.8193561693776197,0.8306854101446361,0.473,0.425,0.521,0.21405117427015352,aromatic,citrus,warm spicy
Portinari Pipas O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Portinari-Pipas-38075.html,Floral-White,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5995896326733714,0.80251008160767,0.8193561693776197,0.8306854101446361,0.27949999999999997,0.188,0.371,0.3095639466552819,floral,woody,aquatic
Quasar 2019 O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-2019-61850.html,Barbershop,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5387652222348568,0.80251008160767,0.8193561693776197,0.8306854101446361,0.452,0.478,0.42600000000000005,0.22561242327647452,citrus,aromatic,fresh spicy
Quasar Brasil O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Brasil-35250.html,Blue-Fresh,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5745913142311035,0.80251008160767,0.8193561693776197,0.8306854101446361,0.5465,0.5770000000000001,0.516,0.2430426512777051,citrus,aquatic,musky
Quasar Brave O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Brave-53752.html,Barbershop,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.45877348684096825,0.80251008160767,0.8193561693776197,0.8306854101446361,0.5475,0.579,0.516,0.19386953446239047,fresh spicy,citrus,woody
Quasar Classic O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Classic-7359.html,Barbershop,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5934105635105118,0.80251008160767,0.8193561693776197,0.8306854101446361,0.4465,0.44400000000000006,0.44899999999999995,0.2354345078391656,citrus,aromatic,lavender
Quasar Deep Blue O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Deep-Blue-98365.html,Barbershop,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.7052387643936366,0.80251008160767,0.8193561693776197,0.8306854101446361,0.398,0.41000000000000003,0.386,0.23581911572587444,aromatic,warm spicy,citrus
Quasar Drop XY O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Drop-XY-58295.html,Citrus-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5808671868571927,0.80251008160767,0.8193561693776197,0.8306854101446361,0.4175,0.462,0.373,0.2511731659043637,citrus,woody,aromatic
Quasar Evolution O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Evolution-34684.html,Green-Fresh,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5720903066548191,0.80251008160767,0.8193561693776197,0.8306854101446361,0.5575000000000001,0.554,0.561,0.23665060582188976,aromatic,fresh spicy,aquatic
Quasar Fire O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Fire-7358.html,Barbershop,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6233782648024381,0.80251008160767,0.8193561693776197,0.8306854101446361,0.6625000000000001,0.675,0.65,0.23523607942791724,fresh spicy,warm spicy,aromatic
Quasar Forever Energy O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Forever-Energy-35249.html,Spicy-Oriental,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5367062008542393,0.80251008160767,0.8193561693776197,0.8306854101446361,0.6125,0.64,0.585,0.22068917073094554,warm spicy,amber,citrus
Quasar Ice O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Ice-67916.html,Blue-Fresh,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5991357486278704,0.80251008160767,0.8193561693776197,0.8306854101446361,0.511,0.532,0.49000000000000005,0.2689568420355243,fresh,aquatic,aromatic
Quasar Onix O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Onix-15342.html,Barbershop,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6361277247130411,0.80251008160767,0.8193561693776197,0.8306854101446361,0.6214999999999999,0.591,0.652,0.21883178108631723,vanilla,fresh spicy,woody
Quasar Oxygen O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Oxygen-19269.html,Citrus-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6214522914053354,0.80251008160767,0.8193561693776197,0.8306854101446361,0.6054999999999999,0.634,0.577,0.2520714631183473,citrus,fresh spicy,floral
Quasar Quest O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Quest-33914.html,Blue-Fresh,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.4679866471563833,0.80251008160767,0.8193561693776197,0.8306854101446361,0.647,0.653,0.641,0.2081744975880875,citrus,fresh spicy,aromatic
Quasar Rush O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Rush-71314.html,Blue-Fresh,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.55466114573548,0.80251008160767,0.8193561693776197,0.8306854101446361,0.3915,0.425,0.35800000000000004,0.23940763202267193,aromatic,aquatic,fresh spicy
Quasar Surf O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Surf-45315.html,Citrus-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6201555244184054,0.80251008160767,0.8193561693776197,0.8306854101446361,0.5335000000000001,0.526,0.541,0.2550520685272148,citrus,fresh spicy,tropical
Quasar Vision O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Vision-87248.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.4953365799306892,0.80251008160767,0.8193561693776197,0.8306854101446361,0.4425,0.46299999999999997,0.42200000000000004,0.19578672597630814,fresh spicy,aromatic,woody
Quasar Next Disney 100 Anos Simba O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Next-Disney-100-Anos-Simba-85354.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6056255719153775,0.80251008160767,0.8193561693776197,0.8306854101446361,0.385,0.42,0.35,0.31001766087437393,mossy,earthy,green
